image,method,MSE,PSNR,SSIM,Wasserstein,Latent_MSE,diag_mean_purity
IM-0001-0001.jpeg,basis,5546.7890625,10.690387103548836,0.6223345348270174,64.8984375,0.10902775922253718,
IM-0001-0001.jpeg,angle,503.703125,21.109057156166195,0.867917018441957,7.4765625,1.4733364074562354e-32,
IM-0001-0001.jpeg,dense_angle,503.703125,21.109057156166195,0.867917018441957,7.4765625,3.875934013079312e-33,
IM-0001-0001.jpeg,iqp,5193.96875,10.975810285402382,0.4959381497857038,33.359375,0.25801990412199816,0.5160426527285018
IM-0001-0001.jpeg,amplitude,503.703125,21.109057156166195,0.867917018441957,7.4765625,5.055566104016494e-34,
IM-0001-0001.jpeg,entangled_angle,6146.6875,10.244392268873636,0.4976048577966717,67.90625,0.044130320536813886,0.6975317447960983
IM-0003-0001.jpeg,basis,4066.0234375,12.039104831847832,0.7037084357498179,57.375,0.11633465586655048,
IM-0003-0001.jpeg,angle,581.63671875,20.484285451229518,0.859055325408192,8.41796875,4.718528363748728e-33,
IM-0003-0001.jpeg,dense_angle,581.63671875,20.484285451229518,0.859055325408192,8.41796875,8.474091755303838e-33,
IM-0003-0001.jpeg,iqp,11390.91015625,7.565219344143619,0.31906138745067886,90.47265625,0.2673468548078418,0.5035792146224423
IM-0003-0001.jpeg,amplitude,581.63671875,20.484285451229518,0.859055325408192,8.41796875,9.62964972193618e-35,
IM-0003-0001.jpeg,entangled_angle,7922.48046875,9.142191836681858,0.5225559109755405,80.05078125,0.037872952319402,0.7427789009029915
IM-0005-0001.jpeg,basis,8819.55859375,8.67633511007716,0.36695734761405363,87.01171875,0.12498799156649976,
IM-0005-0001.jpeg,angle,494.82421875,21.18629413217051,0.8569730128274955,7.39453125,1.7911148482801293e-32,
IM-0005-0001.jpeg,dense_angle,494.82421875,21.18629413217051,0.8569730128274955,7.39453125,5.103714352626175e-33,
IM-0005-0001.jpeg,iqp,10378.92578125,7.969279545055131,0.40495972607641284,92.71484375,0.32710314363064863,0.5068582140193252
IM-0005-0001.jpeg,amplitude,494.82421875,21.18629413217051,0.8569730128274955,7.39453125,1.5407439555097887e-33,
IM-0005-0001.jpeg,entangled_angle,6606.61328125,9.931014747852707,0.5339641111096987,73.18359375,0.04064929712253383,0.7291849223516491
IM-0006-0001.jpeg,basis,5032.4609375,11.112999483343497,0.526769528213917,61.484375,0.08869101478600655,
IM-0006-0001.jpeg,angle,522.30078125,20.951596854189884,0.7751767819542983,11.33203125,1.0496318196910435e-32,
IM-0006-0001.jpeg,dense_angle,522.30078125,20.951596854189884,0.7751767819542983,11.33203125,4.237045877651919e-33,
IM-0006-0001.jpeg,iqp,11446.28515625,7.544157997740274,0.46129735299651614,100.37109375,0.456107545633556,0.50864790099854
IM-0006-0001.jpeg,amplitude,522.30078125,20.951596854189884,0.7751767819542983,11.33203125,1.5407439555097887e-33,
IM-0006-0001.jpeg,entangled_angle,8250.4375,8.966033821606484,0.5347431370514676,86.4140625,0.04472718443993614,0.6874594066692896
IM-0007-0001.jpeg,basis,5545.80078125,10.691160962675744,0.6896769706051579,63.41015625,0.12118597429024561,
IM-0007-0001.jpeg,angle,474.328125,21.37001484223271,0.8552691790005109,6.640625,8.5703882525232e-33,
IM-0007-0001.jpeg,dense_angle,474.328125,21.37001484223271,0.8552691790005109,6.640625,9.051870738620009e-33,
IM-0007-0001.jpeg,iqp,4752.29296875,11.361771547387253,0.5666398703770038,53.22265625,0.19255277542047555,0.5080820574314637
IM-0007-0001.jpeg,amplitude,474.328125,21.37001484223271,0.8552691790005109,6.640625,0.0,
IM-0007-0001.jpeg,entangled_angle,6838.91015625,9.780934624867088,0.519379936311111,74.91015625,0.04051533169537398,0.725819262072224
IM-0009-0001.jpeg,basis,6929.70703125,9.723654866314316,0.6367116770420176,77.93359375,0.1255578940723261,
IM-0009-0001.jpeg,angle,539.0,20.814915956811717,0.8169586509422728,9.8359375,6.644458308135964e-33,
IM-0009-0001.jpeg,dense_angle,539.0,20.814915956811717,0.8169586509422728,9.8359375,3.562970397116386e-33,
IM-0009-0001.jpeg,iqp,2501.83984375,14.148208561507428,0.7452260952450601,31.73828125,0.15438590616156955,0.5045213468978224
IM-0009-0001.jpeg,amplitude,539.0,20.814915956811717,0.8169586509422728,9.8359375,4.81482486096809e-34,
IM-0009-0001.jpeg,entangled_angle,7294.50390625,9.500845996767248,0.5666656129246715,81.18359375,0.03246264192574076,0.762373693411485
IM-0010-0001.jpeg,basis,5192.13671875,10.977342411324258,0.6407410509490582,60.30859375,0.0917803282162479,
IM-0010-0001.jpeg,angle,340.890625,22.804653032199923,0.9079598113474168,5.3046875,1.5214846560659163e-32,
IM-0010-0001.jpeg,dense_angle,340.890625,22.804653032199923,0.9079598113474168,5.3046875,2.4074124304840448e-33,
IM-0010-0001.jpeg,iqp,9761.06640625,8.235830935034752,0.46378673677553645,89.54296875,0.3423993851710212,0.5054422774425771
